[2013-07-07 23:17] [TOW] Hector_Goldman started towing vehicle #-34, owned by false, from Julius Thruway West (pos = 1203.6396484375, 2206.7060546875, 7.3333764076233, rot = 359.35180664063, 359.87915039063, 271.38977050781, health = 1000.2442626953)
[2013-07-08 00:11] [TOW] Hector_Goldman started towing vehicle #-42, owned by false, from Las Venturas Airport (pos = 1484.4951171875, 1797.55078125, 11.263484954834, rot = 359.6923828125, 359.79125976563, 79.552001953125, health = 1000.2442626953)
[2013-07-08 00:13] [TOW] Hector_Goldman started towing vehicle #-52, owned by false, from Las Venturas Airport (pos = 1453.91796875, 1696.6552734375, 10.879450798035, rot = 359.13757324219, 0.6866455078125, 145.810546875, health = 1000.2442626953)
[2013-07-08 00:13] [TOW STOP] Hector_Goldman stopped towing vehicle #-52, owned by false, in Las Venturas Airport (pos = 1454.2236328125, 1693.701171875, 11.152460098267, rot = 19.275512695313, 4.306640625, 186.064453125, health = 1000.2442626953)
[2013-07-08 00:13] [TOW] Hector_Goldman started towing vehicle #-50, owned by false, from Las Venturas Airport (pos = 1460.6982421875, 1707.9130859375, 10.864059448242, rot = 1.8511962890625, 359.65393066406, 139.24072265625, health = 1000.2442626953)
[2013-08-31 11:06] [TOW] Steven_Gomez started towing vehicle #-17, owned by false, from Ganton (pos = 2487.6416015625, -1680.9521484375, 13.155379295349, rot = 0.615234375, 351.54052734375, 274.63623046875, health = 719.90234375)
[2013-08-31 11:06] [TOW STOP] Steven_Gomez stopped towing vehicle #-17, owned by false, in Ganton (pos = 2347.96875, -1653.8583984375, 13.677224159241, rot = 1.505126953125, 45.302124023438, 28.108520507812, health = 719.90234375)
[2013-10-03 07:02] [TOW] Thomas_Ramsey started towing vehicle #132, owned by Skaffer Peter, from Richman (pos = 255.0986328125, -1359.990234375, 53.332244873047, rot = 359.75830078125, 0.50537109375, 277.98706054688, health = 993.40661621094)
[2013-10-03 07:02] [TOW STOP] Thomas_Ramsey stopped towing vehicle #132, owned by Skaffer Peter, in Richman (pos = 284.498046875, -1318.5830078125, 54.14404296875, rot = 0.186767578125, 358.70910644531, 113.61511230469, health = 993.40661621094)
[2013-10-03 15:40] [TOW] Barney_Ross started towing vehicle #547, owned by John Clarkson, from Santa Maria Beach (pos = 338.69140625, -1801.62109375, 4.4493107795715, rot = 358.09936523438, 0.604248046875, 186.59729003906, health = 362.8815612793)
[2013-10-03 15:40] [TOW STOP] Barney_Ross stopped towing vehicle #547, owned by John Clarkson, in Santa Maria Beach (pos = 338.69140625, -1801.62109375, 4.4493107795715, rot = 358.09936523438, 0.604248046875, 186.59729003906, health = 362.8815612793)
